,PUMA_GEOID,PUMA_NAME,UAC_POP,UAC_NAME,UAC_POP
2015,3604102,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2067,3603201,Nassau County (Northwest)--North Hempstead Town (North) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2065,3603803,NYC-Manhattan Community District 10--Central Harlem PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2064,3603804,NYC-Manhattan Community District 11--East Harlem PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2063,3603805,NYC-Manhattan Community District 8--Upper East Side PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2062,3603705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2061,3603702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2060,3603706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2059,3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2058,3604008,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2057,3603710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2056,3603808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2055,3604006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2054,3604112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2053,3603211,Nassau County (West Central)--Hempstead Town (West Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2052,3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2051,3603809,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2050,3603902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2049,3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2048,3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2047,3603208,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2046,3603305,Suffolk County (East) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2045,3603202,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2044,3603104,Westchester County (Southeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2043,3603103,Westchester County (Northeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2042,3603101,Putnam County PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2041,3602801,Dutchess County (North & East) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2040,3604113,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2039,3604105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2038,3603310,Suffolk County (Central)--Islip Town (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2037,3603308,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2066,3603707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2068,3603301,Suffolk County (Northwest)--Huntington Town (North) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2035,3603207,Nassau County (Central)--Hempstead Town (Northeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2069,3603303,Suffolk County (Northwest)--Smithtown Town PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2091,3604015,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2090,3604009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2089,3603206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2088,3603209,Nassau County (Central)--Hempstead Town (East Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2087,3603313,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2086,3603309,Suffolk County (Central)--Islip Town (East) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2085,3603307,Suffolk County (Central)--Brookhaven Town (Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2084,3604007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2083,3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2082,3604017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2081,3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2080,3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2079,3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2078,3604109,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2077,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2076,3604018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2075,3603212,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2074,3603210,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2073,3603312,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2072,3603311,Suffolk County (Southwest)--Islip Town (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2071,3603306,Suffolk County (South Central)--Brookhaven Town (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2070,3603304,Suffolk County (North Central)--Brookhaven Town (North) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2036,3603203,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2034,3603204,Nassau County (West Central)--North Hempstead Town (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2000,3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2001,3603102,Westchester County (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2033,3603704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2002,3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2032,3603708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2031,3604110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2030,3604002,NYC-Brooklyn Community District 4--Bushwick PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2029,3604108,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2028,3604104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2027,3604003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2026,3604111,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2025,3603205,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2024,3604106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2023,3604001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2022,3603107,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2021,3602802,Dutchess County (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2020,3603001,Rockland County (North)--New City & Congers PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2019,3604004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2018,3604013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2017,3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2016,3604107,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2014,3604101,NYC-Queens Community District 1--Astoria & Long Island City PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2013,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2012,3604012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2011,3603801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2010,3603802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2009,3603806,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2008,3603003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2007,3603002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2006,3603105,Westchester County (Central)--White Plains City PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2005,3603106,Westchester County (Southwest)--Yonkers City PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
2004,3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
2003,3603302,Suffolk County (Northwest)--Huntington Town (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1876,3400306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1880,3400701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1879,3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1878,3400305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1877,3400308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1875,3400503,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1874,3401600,Sussex County PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1873,3401700,Warren County PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1872,3400800,Hunterdon County PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1871,3402302,Mercer County (North)--Princeton Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1870,3401103,"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1869,3401104,Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1868,3400904,Middlesex County (North Central)--Metuchen Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1867,3401301,Essex County (Southeast)--Newark City (North & East) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1865,3401201,Ocean County (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1866,3400301,Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1864,3401101,Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1832,3400304,"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1840,3401202,Ocean County (Central)--Beachwood Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1839,3401205,Ocean County (Northeast)--Point Pleasant Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1838,3401404,Essex County (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1837,3401401,Essex County (Northeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1836,3400501,Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
