GEOIDUS,GEODISPLAB,GCTARGID,GEOID,GCDISPLAB,GCLAB,2010,2011,2012,2013,2014,2015,2016
0100000US,United States,310M300US10180,10180,"United States - Abilene, TX Metro Area","Abilene, TX Metro Area",165603,166651,167540,167609,168465,169893,170364
0100000US,United States,310M300US10420,10420,"United States - Akron, OH Metro Area","Akron, OH Metro Area",703124,703115,702477,703433,704355,703358,702221
0100000US,United States,310M300US10500,10500,"United States - Albany, GA Metro Area","Albany, GA Metro Area",157663,157814,157322,155953,155154,153508,152219
0100000US,United States,310M300US10540,10540,"United States - Albany, OR Metro Area","Albany, OR Metro Area",116888,118127,118332,118496,119188,120444,122849
0100000US,United States,310M300US10580,10580,"United States - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",871103,873214,875637,878401,879775,880803,881839
0100000US,United States,310M300US10740,10740,"United States - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",889639,896818,900781,902911,903658,905174,909906
0100000US,United States,310M300US10780,10780,"United States - Alexandria, LA Metro Area","Alexandria, LA Metro Area",154136,154426,154588,154828,154861,154662,154789
0100000US,United States,310M300US10900,10900,"United States - Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",822129,825160,827294,827238,830452,833049,835652
0100000US,United States,310M300US11020,11020,"United States - Altoona, PA Metro Area","Altoona, PA Metro Area",127053,127178,126991,126419,126019,125506,124650
0100000US,United States,310M300US11100,11100,"United States - Amarillo, TX Metro Area","Amarillo, TX Metro Area",252722,256008,257784,258952,260858,261613,263342
0100000US,United States,310M300US11180,11180,"United States - Ames, IA Metro Area","Ames, IA Metro Area",89634,90864,91799,93569,95366,96346,97090
0100000US,United States,310M300US11260,11260,"United States - Anchorage, AK Metro Area","Anchorage, AK Metro Area",383181,388228,392318,397066,398625,399432,402557
0100000US,United States,310M300US11460,11460,"United States - Ann Arbor, MI Metro Area","Ann Arbor, MI Metro Area",345568,349071,351299,354573,358980,360847,364709
0100000US,United States,310M300US11500,11500,"United States - Anniston-Oxford-Jacksonville, AL Metro Area","Anniston-Oxford-Jacksonville, AL Metro Area",118468,117736,117208,116475,115837,115285,114611
0100000US,United States,310M300US11540,11540,"United States - Appleton, WI Metro Area","Appleton, WI Metro Area",225937,227502,228669,229935,231525,233056,234079
0100000US,United States,310M300US11700,11700,"United States - Asheville, NC Metro Area","Asheville, NC Metro Area",425461,428403,431888,437020,441258,446138,452319
0100000US,United States,310M300US12020,12020,"United States - Athens-Clarke County, GA Metro Area","Athens-Clarke County, GA Metro Area",193450,194634,196370,197793,198787,202822,205290
0100000US,United States,310M300US12060,12060,"United States - Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",5303929,5373558,5452145,5517230,5605765,5699050,5789700
0100000US,United States,310M300US12100,12100,"United States - Atlantic City-Hammonton, NJ Metro Area","Atlantic City-Hammonton, NJ Metro Area",274757,275017,275604,275784,274715,273035,270991
0100000US,United States,310M300US12220,12220,"United States - Auburn-Opelika, AL Metro Area","Auburn-Opelika, AL Metro Area",140804,144123,148289,151411,154277,156767,158991
0100000US,United States,310M300US12260,12260,"United States - Augusta-Richmond County, GA-SC Metro Area","Augusta-Richmond County, GA-SC Metro Area",566569,570925,576549,579840,583462,590047,594919
