,PUMA_GEOID,PUMA_NAME,CBSA_GEOID,CBSA_NAME,CBSA_POP
2416,3602802,Dutchess County (Southwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2441,3603305,Suffolk County (East) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2423,3604104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2424,3604108,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2425,3604002,NYC-Brooklyn Community District 4--Bushwick PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2426,3604110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2427,3603708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2428,3603704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2429,3603204,Nassau County (West Central)--North Hempstead Town (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2430,3603207,Nassau County (Central)--Hempstead Town (Northeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2431,3603203,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2432,3603308,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2433,3603310,Suffolk County (Central)--Islip Town (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2434,3604105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2435,3604113,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2436,3602801,Dutchess County (North & East) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2437,3603101,Putnam County PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2438,3603103,Westchester County (Northeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2439,3603104,Westchester County (Southeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2422,3604003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2421,3604111,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2420,3603205,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2410,3604102,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2403,3602902,Orange County (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2404,3603806,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2405,3603802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2406,3603801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2407,3604012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2408,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2409,3604101,NYC-Queens Community District 1--Astoria & Long Island City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2411,3604107,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2419,3604106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2412,3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2413,3604013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2414,3604004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2415,3603001,Rockland County (North)--New City & Congers PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2645,3603706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2417,3603107,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2418,3604001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2440,3603202,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2442,3603208,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2644,3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2443,3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2464,3603301,Suffolk County (Northwest)--Huntington Town (North) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2465,3603303,Suffolk County (Northwest)--Smithtown Town PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2466,3603304,Suffolk County (North Central)--Brookhaven Town (North) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2467,3603306,Suffolk County (South Central)--Brookhaven Town (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2468,3603311,Suffolk County (Southwest)--Islip Town (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2469,3603312,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2470,3603210,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2471,3603212,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2472,3604018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2473,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2474,3604109,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2475,3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2476,3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2477,3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2478,3604017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2479,3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2480,3604007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2463,3603201,Nassau County (Northwest)--North Hempstead Town (North) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2462,3603707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2461,3603803,NYC-Manhattan Community District 10--Central Harlem PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2451,3603808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2444,3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2445,3603902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2446,3603809,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2447,3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2448,3603211,Nassau County (West Central)--Hempstead Town (West Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2449,3604112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2450,3604006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2452,3603710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2460,3603804,NYC-Manhattan Community District 11--East Harlem PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2453,3604008,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2456,3603702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2457,3603705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2458,3602901,Orange County (Northeast)--Greater Newburgh City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2459,3603805,NYC-Manhattan Community District 8--Upper East Side PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2402,3602903,Orange County (Southeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2401,3603003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2400,3603002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2399,3603105,Westchester County (Central)--White Plains City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2390,3603206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2386,3603307,Suffolk County (Central)--Brookhaven Town (Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2387,3603309,Suffolk County (Central)--Islip Town (East) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2388,3603313,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2389,3603209,Nassau County (Central)--Hempstead Town (East Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2391,3604009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2392,3604015,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2393,3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2394,3603102,Westchester County (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2395,3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2396,3603302,Suffolk County (Northwest)--Huntington Town (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2397,3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2398,3603106,Westchester County (Southwest)--Yonkers City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2270,3400701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2269,3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2268,3400305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2267,3400308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2266,3400306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2265,3400503,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2264,3401600,Sussex County PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2263,3401700,Warren County PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2262,3400800,Hunterdon County PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2261,3401103,"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2260,3401104,Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2259,3400904,Middlesex County (North Central)--Metuchen Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2258,3401301,Essex County (Southeast)--Newark City (North & East) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2257,3400301,Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2256,3401201,Ocean County (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2255,3401101,Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2254,3401105,Monmouth County (Northwest)--Keansburg Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2253,3400901,Middlesex County (Southeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2252,3400907,Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2230,3401205,Ocean County (Northeast)--Point Pleasant Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2229,3401404,Essex County (Southwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2228,3401401,Essex County (Northeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2227,3400501,Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2226,3401403,Essex County (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2225,3401504,"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2224,3401902,Union County (Northwest)--Summit City & Westfield Town (North) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2223,3400304,"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2222,3400400,Passaic County (Southeast)--Paterson City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
