,PUMA_GEOID,PUMA_NAME,CBSA_GEOID,CBSA_NAME,CBSA_POP
1600,3400400,Passaic County (Southeast)--Paterson City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1833,3603702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1863,3604009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1862,3603206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1861,3603209,Nassau County (Central)--Hempstead Town (East Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1860,3603313,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1859,3603309,Suffolk County (Central)--Islip Town (East) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1858,3603307,Suffolk County (Central)--Brookhaven Town (Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1857,3604007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1856,3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1855,3604017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1854,3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1853,3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1852,3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1851,3604109,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1850,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
