,PUMA_GEOID,PUMA_NAME,UAC_ID,UAC_NAME,UAC_POP
5135,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5175,3603205,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5173,3604001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5172,3603107,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5171,3602802,Dutchess County (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5170,3603001,Rockland County (North)--New City & Congers PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5169,3604004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5167,3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5166,3604107,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5165,3604102,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5164,3604101,NYC-Queens Community District 1--Astoria & Long Island City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5163,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5162,3604012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5161,3603801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5160,3603802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5159,3603806,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5158,3603003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5157,3603002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5156,3603105,Westchester County (Central)--White Plains City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5155,3603106,Westchester County (Southwest)--Yonkers City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5154,3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5153,3603302,Suffolk County (Northwest)--Huntington Town (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5152,3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5151,3603102,Westchester County (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5150,3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5174,3604106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5176,3604111,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5202,3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5177,3604003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5200,3603902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5199,3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5198,3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5197,3603208,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5196,3603305,Suffolk County (East) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5195,3603202,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5194,3603104,Westchester County (Southeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5193,3603103,Westchester County (Northeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5192,3603101,Putnam County PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5191,3602801,Dutchess County (North & East) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5190,3604113,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
