,PUMA_GEOID,PUMA_NAME,CBSA_GEOID,CBSA_NAME,CBSA_POP
2214,3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2130,3604009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2128,3603209,Nassau County (Central)--Hempstead Town (East Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2127,3603313,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2126,3603309,Suffolk County (Central)--Islip Town (East) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2125,3603307,Suffolk County (Central)--Brookhaven Town (Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2124,3604007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2123,3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2122,3604017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2121,3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2120,3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2118,3604109,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2117,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2116,3604018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2115,3603212,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
2114,3603210,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
